player,season,matchday,teams,result,minutes,goals,assists,goals_conceded,recoveries
658-david-lopez,laliga-24-25,36,VLD 0-1 GIR,0-1,90,0,1,0,1
658-david-lopez,laliga-24-25,35,GIR 0-1 VIL 90',0-1,90,0,0,1,3
658-david-lopez,laliga-24-25,34,GIR 1-0 MAL,1-0,90,0,0,0,2
658-david-lopez,laliga-24-25,33,LEG 1-1 GIR,1-1,90,0,0,1,1
658-david-lopez,laliga-24-25,32,GIR 1-3 BET 67',1-3,23,0,0,0,1
658-david-lopez,laliga-24-25,31,OSA 2-1 GIR 92',2-1,90,0,0,2,0
658-david-lopez,laliga-24-25,30,GIR 0-1 ALA,0-1,0,0,0,0,0
658-david-lopez,laliga-24-25,29,BAR 4-1 GIR,4-1,0,0,0,0,0
658-david-lopez,laliga-24-25,28,GIR 1-1 VAL,1-1,0,0,0,0,0
658-david-lopez,laliga-24-25,27,ESP 1-1 GIR,1-1,0,0,0,0,0
658-david-lopez,laliga-24-25,26,GIR 2-2 CEL 53',2-2,53,0,0,2,4
658-david-lopez,laliga-24-25,25,RMD 2-0 GIR,2-0,90,0,0,2,1
658-david-lopez,laliga-24-25,24,GIR 1-2 GET 68',1-2,68,0,0,2,2
658-david-lopez,laliga-24-25,23,ATH 3-0 GIR,3-0,0,0,0,0,0
658-david-lopez,laliga-24-25,22,GIR 2-1 LPA,2-1,0,0,0,0,0
658-david-lopez,laliga-24-25,21,RAY 2-1 GIR,2-1,90,0,0,2,0
658-david-lopez,laliga-24-25,20,GIR 1-2 SEV,1-2,90,0,0,2,1
658-david-lopez,laliga-24-25,19,ALA 0-1 GIR,0-1,90,0,0,0,1
658-david-lopez,laliga-24-25,18,GIR 3-0 VLD,3-0,90,1,0,0,5
658-david-lopez,laliga-24-25,17,MAL 2-1 GIR,2-1,90,0,0,2,2
658-david-lopez,laliga-24-25,16,GIR 0-3 RMD,0-3,90,0,0,3,1
658-david-lopez,laliga-24-25,15,VIL 2-2 GIR,2-2,90,0,0,2,1
658-david-lopez,laliga-24-25,14,GIR 4-1 ESP,4-1,90,0,0,1,2
658-david-lopez,laliga-24-25,13,GET 0-1 GIR,0-1,90,0,0,0,2
658-david-lopez,laliga-24-25,12,GIR 4-3 LEG,4-3,90,0,0,3,0
658-david-lopez,laliga-24-25,11,LPA 1-0 GIR,1-0,90,0,0,1,2
658-david-lopez,laliga-24-25,10,GIR 0-1 RSO,0-1,90,0,0,1,1
658-david-lopez,laliga-24-25,9,GIR 2-1 ATH,2-1,90,0,0,1,4
658-david-lopez,laliga-24-25,8,CEL 1-1 GIR 53',1-1,37,0,0,1,0
658-david-lopez,laliga-24-25,7,GIR 0-0 RAY,0-0,90,0,0,0,0
658-david-lopez,laliga-24-25,6,VAL 2-0 GIR,2-0,0,0,0,0,0
658-david-lopez,laliga-24-25,5,GIR 1-4 BAR,1-4,90,0,0,4,3
658-david-lopez,laliga-24-25,4,SEV 0-2 GIR,0-2,90,0,0,0,1
658-david-lopez,laliga-24-25,3,GIR 4-0 OSA,4-0,90,0,0,0,0
658-david-lopez,laliga-24-25,2,ATM 3-0 GIR,3-0,90,0,0,3,1
658-david-lopez,laliga-24-25,1,BET 1-1 GIR,1-1,90,0,0,1,0
abdel-abqar,laliga-24-25,36,ALA 1-0 VAL,1-0,0,0,0,0,0
abdel-abqar,laliga-24-25,35,ATH 1-0 ALA,1-0,0,0,0,0,0
abdel-abqar,laliga-24-25,34,ALA 0-0 ATM,0-0,0,0,0,0,0
abdel-abqar,laliga-24-25,33,ALA 1-0 RSO,1-0,0,0,0,0,0
abdel-abqar,laliga-24-25,32,SEV 1-1 ALA,1-1,0,0,0,0,0
abdel-abqar,laliga-24-25,31,ALA 0-1 RMD 75',0-1,75,0,0,1,0
abdel-abqar,laliga-24-25,30,GIR 0-1 ALA,0-1,90,0,0,0,3
abdel-abqar,laliga-24-25,29,ALA 0-2 RAY,0-2,90,0,0,2,0
abdel-abqar,laliga-24-25,28,LPA 2-2 ALA,2-2,90,0,0,2,4
abdel-abqar,laliga-24-25,27,ALA 1-0 VIL,1-0,90,0,0,0,2
abdel-abqar,laliga-24-25,26,MAL 1-1 ALA,1-1,90,0,0,1,1
abdel-abqar,laliga-24-25,25,ALA 0-1 ESP,0-1,90,0,0,1,2
abdel-abqar,laliga-24-25,24,LEG 3-3 ALA,3-3,90,0,0,3,1
abdel-abqar,laliga-24-25,23,ALA 0-1 GET,0-1,90,0,0,1,0
abdel-abqar,laliga-24-25,22,BAR 1-0 ALA,1-0,90,0,0,0,0
abdel-abqar,laliga-24-25,21,ALA 1-1 CEL,1-1,90,0,0,1,6
abdel-abqar,laliga-24-25,20,BET 1-3 ALA,1-3,90,0,0,1,3
abdel-abqar,laliga-24-25,19,ALA 0-1 GIR,0-1,90,0,0,1,2
abdel-abqar,laliga-24-25,18,VAL 2-2 ALA,2-2,90,0,0,2,0
abdel-abqar,laliga-24-25,17,ALA 1-1 ATH,1-1,90,0,0,1,2
abdel-abqar,laliga-24-25,16,OSA 2-2 ALA,2-2,90,0,0,2,0
abdel-abqar,laliga-24-25,15,ALA 1-1 LEG,1-1,90,0,0,1,4
abdel-abqar,laliga-24-25,14,ATM 2-1 ALA,2-1,90,0,0,2,2
abdel-abqar,laliga-24-25,13,VIL 3-0 ALA,3-0,90,0,0,3,5
abdel-abqar,laliga-24-25,12,ALA 1-0 MAL,1-0,90,0,0,0,1
abdel-abqar,laliga-24-25,11,RAY 1-0 ALA,1-0,90,0,0,0,0
abdel-abqar,laliga-24-25,10,ALA 2-3 VLD,2-3,90,0,1,3,1
abdel-abqar,laliga-24-25,9,ALA 0-3 BAR 66',0-3,66,0,0,3,3
abdel-abqar,laliga-24-25,8,GET 2-0 ALA 54',2-0,54,0,0,1,4
abdel-abqar,laliga-24-25,7,RMD 3-2 ALA 45',3-2,45,0,0,2,1
abdel-abqar,laliga-24-25,6,ALA 2-1 SEV,2-1,90,0,0,1,1
abdel-abqar,laliga-24-25,5,ESP 3-2 ALA 63',3-2,63,0,0,3,2
abdel-abqar,laliga-24-25,4,ALA 2-0 LPA,2-0,90,0,0,0,2
abdel-abqar,laliga-24-25,3,RSO 1-2 ALA,1-2,90,0,0,1,4
abdel-abqar,laliga-24-25,2,ALA 0-0 BET,0-0,90,0,0,0,4
abdel-abqar,laliga-24-25,1,CEL 2-1 ALA,2-1,90,0,0,2,3
abdul-mumin,laliga-24-25,36,RAY 2-2 BET,2-2,0,0,0,0,0
abdul-mumin,laliga-24-25,35,LPA 0-1 RAY,0-1,0,0,0,0,0
abdul-mumin,laliga-24-25,34,RAY 1-0 GET,1-0,0,0,0,0,0
abdul-mumin,laliga-24-25,33,ATM 3-0 RAY,3-0,0,0,0,0,0
abdul-mumin,laliga-24-25,32,RAY 1-1 VAL,1-1,0,0,0,0,0
abdul-mumin,laliga-24-25,31,ATH 3-1 RAY,3-1,0,0,0,0,0
abdul-mumin,laliga-24-25,30,RAY 0-4 ESP,0-4,0,0,0,0,0
abdul-mumin,laliga-24-25,29,ALA 0-2 RAY,0-2,0,0,0,0,0
abdul-mumin,laliga-24-25,28,RAY 2-2 RSO,2-2,0,0,0,0,0
abdul-mumin,laliga-24-25,27,RMD 2-1 RAY,2-1,0,0,0,0,0
abdul-mumin,laliga-24-25,26,RAY 1-1 SEV 34',1-1,34,0,0,0,0
abdul-mumin,laliga-24-25,25,RAY 0-1 VIL,0-1,90,0,0,1,1
abdul-mumin,laliga-24-25,24,BAR 1-0 RAY,1-0,90,0,0,1,3
abdul-mumin,laliga-24-25,23,RAY 1-0 VLD,1-0,90,0,0,0,1
abdul-mumin,laliga-24-25,22,LEG 0-1 RAY,0-1,90,0,0,0,6
abdul-mumin,laliga-24-25,21,RAY 2-1 GIR,2-1,90,0,0,1,2
abdul-mumin,laliga-24-25,20,OSA 1-1 RAY,1-1,90,0,0,1,4
abdul-mumin,laliga-24-25,19,RAY 2-1 CEL,2-1,90,0,0,1,1
abdul-mumin,laliga-24-25,18,BET 1-1 RAY,1-1,90,0,0,0,0
abdul-mumin,laliga-24-25,12,VIL 1-1 RAY,1-1,90,0,0,1,3
abdul-mumin,laliga-24-25,17,RAY 3-3 RMD,3-3,90,1,0,3,2
abdul-mumin,laliga-24-25,16,VAL 0-1 RAY,0-1,90,0,0,0,2
abdul-mumin,laliga-24-25,15,RAY 1-2 ATH,1-2,90,0,0,2,0
abdul-mumin,laliga-24-25,14,SEV 1-0 RAY,1-0,90,0,0,1,2
abdul-mumin,laliga-24-25,13,RAY 1-3 LPA,1-3,90,0,0,0,0
abdul-mumin,laliga-24-25,11,RAY 1-0 ALA 21',1-0,21,0,0,0,0
abdul-mumin,laliga-24-25,10,MAL 1-0 RAY 72',1-0,72,0,0,0,2
abdul-mumin,laliga-24-25,9,VLD 1-2 RAY,1-2,90,0,0,1,1
abdul-mumin,laliga-24-25,8,RAY 1-1 LEG,1-1,90,0,0,1,1
abdul-mumin,laliga-24-25,7,GIR 0-0 RAY,0-0,90,0,0,0,5
abdul-mumin,laliga-24-25,6,RAY 1-1 ATM,1-1,90,0,0,1,1
abdul-mumin,laliga-24-25,5,RAY 3-1 OSA,3-1,90,1,0,1,0
abdul-mumin,laliga-24-25,4,ESP 2-1 RAY,2-1,90,0,0,2,2
abdul-mumin,laliga-24-25,3,RAY 1-2 BAR,1-2,90,0,0,2,6
abdul-mumin,laliga-24-25,2,GET 0-0 RAY,0-0,90,0,0,0,2
abdul-mumin,laliga-24-25,1,RSO 1-2 RAY,1-2,90,0,1,1,1
abdulai-juma-bah,laliga-24-25,21,VLD 0-3 RMD,0-3,0,0,0,0,0
abdulai-juma-bah,laliga-24-25,20,ESP 2-1 VLD,2-1,90,0,0,2,0
abdulai-juma-bah,laliga-24-25,19,VLD 1-0 BET 45',1-0,45,0,0,0,2
abdulai-juma-bah,laliga-24-25,18,GIR 3-0 VLD,3-0,90,0,0,3,4
abdulai-juma-bah,laliga-24-25,17,VLD 1-0 VAL,1-0,90,0,0,0,2
abdulai-juma-bah,laliga-24-25,16,LPA 2-1 VLD 84',2-1,6,0,0,0,0
abdulai-juma-bah,laliga-24-25,15,VLD 0-5 ATM,0-5,90,0,0,5,2
abdulai-juma-bah,laliga-24-25,14,GET 2-0 VLD,2-0,90,0,0,2,2
abdulai-juma-bah,laliga-24-25,13,VLD 1-1 ATH,1-1,90,0,0,1,0
abdulai-juma-bah,laliga-24-25,12,OSA 1-0 VLD,1-0,0,0,0,0,0
abdulai-juma-bah,laliga-24-25,11,VLD 1-2 VIL,1-2,0,0,0,0,0
