player,season,matchday,teams,result,minutes,goals,assists,shots_on_target,dribbles
abde-ezzalzouli,laliga-24-25,38,BET 1-1 VAL 59',1-1,31,0,0,1,0
abde-ezzalzouli,laliga-24-25,37,ATM 4-1 BET 45',4-1,45,0,0,0,1
abde-ezzalzouli,laliga-24-25,36,RAY 2-2 BET 68',2-2,68,0,0,1,0
abde-ezzalzouli,laliga-24-25,35,BET 1-1 OSA 78',1-1,78,0,0,0,0
abde-ezzalzouli,laliga-24-25,34,ESP 1-2 BET 59',1-2,31,0,0,1,0
abde-ezzalzouli,laliga-24-25,33,BET 5-1 VLD 60',5-1,30,1,0,1,0
abde-ezzalzouli,laliga-24-25,32,GIR 1-3 BET 88',1-3,88,0,1,3,2
abde-ezzalzouli,laliga-24-25,31,BET 1-2 VIL,1-2,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,30,BAR 1-1 BET,1-1,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,29,BET 2-1 SEV,2-1,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,28,LEG 2-3 BET 61',2-3,61,0,0,1,0
abde-ezzalzouli,laliga-24-25,27,BET 1-0 LPA 61',1-0,29,0,0,1,0
abde-ezzalzouli,laliga-24-25,26,BET 2-1 RMD,2-1,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,25,GET 1-2 BET,1-2,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,24,BET 3-0 RSO,3-0,0,0,0,0,0
abde-ezzalzouli,laliga-24-25,23,CEL 3-2 BET 71',3-2,19,0,0,0,1
abde-ezzalzouli,laliga-24-25,22,BET 2-2 ATH 71',2-2,19,0,0,0,1
abde-ezzalzouli,laliga-24-25,21,MAL 0-1 BET 64',0-1,64,0,0,1,0
abde-ezzalzouli,laliga-24-25,20,BET 1-3 ALA 59',1-3,59,0,0,0,2
abde-ezzalzouli,laliga-24-25,19,VLD 1-0 BET 72',1-0,72,0,0,1,0
abde-ezzalzouli,laliga-24-25,18,BET 1-1 RAY 80',1-1,80,0,0,1,2
abde-ezzalzouli,laliga-24-25,17,VIL 1-2 BET 73',1-2,73,0,1,0,3
abde-ezzalzouli,laliga-24-25,16,BET 2-2 BAR 85',2-2,85,0,0,1,1
abde-ezzalzouli,laliga-24-25,15,RSO 2-0 BET 54',2-0,54,0,0,0,1
abde-ezzalzouli,laliga-24-25,14,VAL 4-2 BET 67',4-2,67,0,0,2,2
abde-ezzalzouli,laliga-24-25,13,BET 2-2 CEL 85',2-2,85,0,0,0,5
abde-ezzalzouli,laliga-24-25,12,ATH 1-1 BET,1-1,90,0,0,1,3
abde-ezzalzouli,laliga-24-25,11,BET 1-0 ATM 90',1-0,90,0,0,0,3
abde-ezzalzouli,laliga-24-25,10,OSA 1-2 BET 59',1-2,31,0,0,0,1
abde-ezzalzouli,laliga-24-25,9,SEV 1-0 BET 78',1-0,78,0,0,0,2
abde-ezzalzouli,laliga-24-25,8,BET 1-0 ESP 87',1-0,87,0,0,3,0
abde-ezzalzouli,laliga-24-25,7,LPA 1-1 BET 74',1-1,74,0,0,0,2
abde-ezzalzouli,laliga-24-25,6,BET 1-2 MAL 80',1-2,80,0,0,0,2
abde-ezzalzouli,laliga-24-25,3,BET 2-1 GET 85',2-1,85,0,0,2,4
abde-ezzalzouli,laliga-24-25,5,BET 2-0 LEG,2-0,90,1,0,4,1
abde-ezzalzouli,laliga-24-25,4,RMD 2-0 BET 82',2-0,82,0,0,0,3
abde-ezzalzouli,laliga-24-25,2,ALA 0-0 BET 62',0-0,28,0,0,1,0
abde-ezzalzouli,laliga-24-25,1,BET 1-1 GIR 58',1-1,32,0,0,0,3
abdon-prats,laliga-24-25,38,RAY 0-0 MAL,0-0,0,0,0,0,0
abdon-prats,laliga-24-25,37,MAL 1-2 GET,1-2,0,0,0,0,0
abdon-prats,laliga-24-25,36,RMD 2-1 MAL,2-1,0,0,0,0,0
abdon-prats,laliga-24-25,35,MAL 2-1 VLD,2-1,0,0,0,0,0
abdon-prats,laliga-24-25,34,GIR 1-0 MAL,1-0,0,0,0,0,0
abdon-prats,laliga-24-25,33,BAR 1-0 MAL 85',1-0,5,0,0,0,0
abdon-prats,laliga-24-25,32,MAL 0-0 LEG 63',0-0,63,0,0,0,0
abdon-prats,laliga-24-25,31,RSO 0-2 MAL 78',0-2,12,0,0,0,0
abdon-prats,laliga-24-25,30,MAL 1-2 CEL 73',1-2,17,0,0,0,0
abdon-prats,laliga-24-25,29,VAL 1-0 MAL,1-0,90,0,0,0,1
abdon-prats,laliga-24-25,28,MAL 2-1 ESP 75',2-1,15,0,0,0,0
abdon-prats,laliga-24-25,27,ATH 1-1 MAL,1-1,0,0,0,0,0
abdon-prats,laliga-24-25,26,MAL 1-1 ALA 87',1-1,3,0,0,1,0
abdon-prats,laliga-24-25,25,SEV 1-1 MAL 76',1-1,14,0,0,0,0
abdon-prats,laliga-24-25,24,MAL 3-1 LPA,3-1,0,0,0,0,0
abdon-prats,laliga-24-25,23,MAL 1-1 OSA 81',1-1,9,0,0,0,0
abdon-prats,laliga-24-25,22,ATM 2-0 MAL 80',2-0,10,0,0,0,0
