player,season,matchday,teams,result,minutes,saves,goals_conceded,errors_leading_to_goal,penalties_saved
-llorenc-serred,laliga-24-25,35,LEG 3-2 ESP,3-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,34,ESP 1-2 BET,1-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,26,VIL 1-0 ESP,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,33,VAL 1-1 ESP,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,32,ESP 1-0 GET,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,31,CEL 0-2 ESP,0-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,30,RAY 0-4 ESP,0-4,0,0,0,0,0
-llorenc-serred,laliga-24-25,29,ESP 1-1 ATM,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,28,MAL 2-1 ESP,2-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,27,ESP 1-1 GIR,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,25,ALA 0-1 ESP,0-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,24,ESP 1-1 ATH,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,23,RSO 2-1 ESP,2-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,22,ESP 1-0 RMD,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,21,SEV 1-1 ESP,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,20,ESP 2-1 VLD,2-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,19,ESP 1-1 LEG,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,18,LPA 1-0 ESP,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,13,ESP 1-1 VAL,1-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,17,ESP 0-0 OSA,0-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,16,GET 1-0 ESP,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,15,ESP 3-1 CEL,3-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,14,GIR 4-1 ESP,4-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,12,BAR 3-1 ESP,3-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,11,ESP 0-2 SEV,0-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,10,ATH 4-1 ESP,4-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,9,ESP 2-1 MAL,2-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,8,BET 1-0 ESP,1-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,7,ESP 1-2 VIL,1-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,6,RMD 4-1 ESP,4-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,5,ESP 3-2 ALA,3-2,0,0,0,0,0
-llorenc-serred,laliga-24-25,4,ESP 2-1 RAY,2-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,3,ATM 0-0 ESP,0-0,0,0,0,0,0
-llorenc-serred,laliga-24-25,2,ESP 0-1 RSO,0-1,0,0,0,0,0
-llorenc-serred,laliga-24-25,1,VLD 1-0 ESP,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,36,ALA 1-0 VAL,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,35,ATH 1-0 ALA,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,34,ALA 0-0 ATM,0-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,33,ALA 1-0 RSO,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,32,SEV 1-1 ALA,1-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,31,ALA 0-1 RMD,0-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,30,GIR 0-1 ALA,0-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,29,ALA 0-2 RAY,0-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,28,LPA 2-2 ALA,2-2,90,4,2,0,0
adrian-rodriguez,laliga-24-25,27,ALA 1-0 VIL 58',1-0,32,0,0,0,0
adrian-rodriguez,laliga-24-25,26,MAL 1-1 ALA,1-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,25,ALA 0-1 ESP,0-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,24,LEG 3-3 ALA,3-3,0,0,0,0,0
adrian-rodriguez,laliga-24-25,23,ALA 0-1 GET,0-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,22,BAR 1-0 ALA,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,21,ALA 1-1 CEL,1-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,20,BET 1-3 ALA,1-3,0,0,0,0,0
adrian-rodriguez,laliga-24-25,19,ALA 0-1 GIR,0-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,18,VAL 2-2 ALA,2-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,17,ALA 1-1 ATH,1-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,16,OSA 2-2 ALA,2-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,15,ALA 1-1 LEG,1-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,14,ATM 2-1 ALA,2-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,13,VIL 3-0 ALA,3-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,12,ALA 1-0 MAL,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,11,RAY 1-0 ALA,1-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,10,ALA 2-3 VLD,2-3,0,0,0,0,0
adrian-rodriguez,laliga-24-25,9,ALA 0-3 BAR,0-3,0,0,0,0,0
adrian-rodriguez,laliga-24-25,8,GET 2-0 ALA,2-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,7,RMD 3-2 ALA,3-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,6,ALA 2-1 SEV,2-1,0,0,0,0,0
adrian-rodriguez,laliga-24-25,5,ESP 3-2 ALA,3-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,4,ALA 2-0 LPA,2-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,3,RSO 1-2 ALA,1-2,0,0,0,0,0
adrian-rodriguez,laliga-24-25,2,ALA 0-0 BET,0-0,0,0,0,0,0
adrian-rodriguez,laliga-24-25,1,CEL 2-1 ALA,2-1,0,0,0,0,0
adrian-san-miguel,laliga-24-25,35,BET 1-1 OSA,1-1,90,4,1,0,0
adrian-san-miguel,laliga-24-25,34,ESP 1-2 BET,1-2,90,4,1,0,0
adrian-san-miguel,laliga-24-25,33,BET 5-1 VLD,5-1,90,5,1,1,0
adrian-san-miguel,laliga-24-25,32,GIR 1-3 BET,1-3,90,3,1,0,0
