player,season,matchday,teams,result,minutes,goals,assists,key_passes,recoveries
abdoulaye-keita,laliga-24-25,38,GET 1-2 CEL,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,37,MAL 1-2 GET,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,36,GET 0-2 ATH,0-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,35,VAL 3-0 GET,3-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,34,RAY 1-0 GET,1-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,33,GET 0-1 RMD,0-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,32,ESP 1-0 GET,1-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,31,GET 1-3 LPA,1-3,0,0,0,0,0
abdoulaye-keita,laliga-24-25,30,VLD 0-4 GET,0-4,0,0,0,0,0
abdoulaye-keita,laliga-24-25,29,GET 1-2 VIL,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,28,OSA 1-2 GET,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,27,GET 2-1 ATM,2-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,26,LEG 1-0 GET,1-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,25,GET 1-2 BET,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,24,GIR 1-2 GET,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,23,ALA 0-1 GET,0-1,13,0,0,0,0
abdoulaye-keita,laliga-24-25,22,GET 0-0 SEV,0-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,21,RSO 0-3 GET,0-3,0,0,0,0,0
abdoulaye-keita,laliga-24-25,20,GET 1-1 BAR,1-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,19,LPA 1-2 GET,1-2,0,0,0,0,0
abdoulaye-keita,laliga-24-25,18,GET 0-1 MAL,0-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,17,ATM 1-0 GET,1-0,54,0,0,0,2
abdoulaye-keita,laliga-24-25,16,GET 1-0 ESP,1-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,15,RMD 2-0 GET,2-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,14,GET 2-0 VLD,2-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,13,GET 0-1 GIR,0-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,12,CEL 1-0 GET,1-0,0,0,0,0,0
abdoulaye-keita,laliga-24-25,11,GET 1-1 VAL,1-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,10,VIL 1-1 GET,1-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,9,GET 1-1 OSA,1-1,0,0,0,0,0
abdoulaye-keita,laliga-24-25,8,GET 2-0 ALA,2-0,0,0,0,0,0
